,Index,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,hour,weekday,month,year,is_weekday,is_night,distance_km
20,55085966,10.5,-73.98002199999999,40.74599,-74.00343199999999,40.759667,1,14,1,2,2014,0,0,2.4902437611965915
21,9843493,5.0,-73.98918914794923,40.72914123535156,-73.9872817993164,40.72063446044922,2,23,1,3,2015,0,1,0.9594688591851598
22,47537124,4.1,-74.010798,40.726085,-74.00976700000001,40.737402,2,2,3,11,2009,0,1,1.2613880250404355
23,25121708,7.7,-73.9943,40.739512,-73.98807,40.724482,2,16,5,9,2010,1,0,1.751762582083585
24,37339061,12.9,-73.972987,40.76404,-74.00782,40.714993,5,22,2,5,2010,0,1,6.193235947014278
25,49393874,9.5,-73.986059,40.757159,-73.97613,40.780589,1,17,3,2,2009,0,0,2.7361888046764697
26,38755863,5.0,-73.957802,40.776372,-73.957422,40.78287,1,6,1,1,2014,0,0,0.7232527134113774
27,41229643,12.0,-73.993909,40.741551,-73.987874,40.770232,1,17,2,11,2012,0,0,3.2294390767342174
28,46387690,4.9,-73.97778000000001,40.763656,-73.989486,40.772966,1,20,2,5,2009,0,0,1.4295153219088788
29,45740211,7.3,-73.971075,40.787833,-73.94495699999999,40.784302,5,2,5,12,2011,1,1,2.2336962262344073
30,31945670,25.7,-73.944815,40.834367,-73.98933199999999,40.72192,4,9,5,5,2011,1,0,13.053312139231668
31,11844693,7.7,-74.004184,40.712975,-73.988385,40.725102,1,15,5,2,2009,1,0,1.8950465432768815
32,33836728,10.5,-73.982085,40.771387,-73.95961,40.769445000000005,1,19,0,2,2013,0,0,1.9049327090314097
33,17967628,11.0,-73.991186,40.741393,-74.00971,40.716455,2,20,1,9,2013,0,0,3.1821134289666895
34,19277743,39.5,-73.78808000000001,40.642187,-73.865042,40.725997,4,6,2,6,2014,0,0,11.356140698271853
35,45314451,8.1,-73.98869,40.751273,-73.95881,40.764643,3,5,4,6,2009,0,1,2.9230196514159985
36,18779733,5.7,-74.010863,40.710813,-74.001205,40.718745,1,16,5,2,2011,1,0,1.2002121842415259
37,28150703,6.9,-73.96869699999999,40.754998,-73.987302,40.73594,1,19,2,8,2011,0,0,2.6357871666998025
38,14631620,7.7,-73.96837,40.759005,-73.979105,40.77757,3,21,1,5,2010,0,0,2.253610790734642
39,38703737,29.0,-73.9926,40.753172,-73.908508,40.816192,1,17,3,2,2014,0,0,9.961496456570083
40,51671648,15.7,-73.97336,40.786952,-73.97281,40.743548,1,14,3,4,2010,0,0,4.826526866189426
41,16649523,9.0,-73.970164,40.765016,-73.962801,40.77478,1,14,2,4,2014,0,0,1.2502909601091337
42,5218851,4.9,-73.987139,40.753038,-73.97779399999999,40.751834,1,15,1,2,2011,0,0,0.7984731247774794
43,4147756,5.4,-73.994222,40.751229,-73.99833100000001,40.744342,1,22,5,1,2009,1,1,0.8403949918801996
44,15145716,3.3,-73.982371,40.765501,-73.985248,40.762808,1,0,3,7,2012,0,1,0.3851987079578982
45,41369172,8.9,-73.977137,40.779272,-73.970457,40.757972,1,8,3,2,2009,0,0,2.434342813775855
46,37192633,17.0,-73.9939,40.751714,-73.958575,40.76039,1,14,3,1,2014,0,0,3.1279052128174074
47,21695280,12.0,-73.97952270507811,40.72731018066406,-73.98487854003906,40.760650634765625,1,9,6,1,2015,1,0,3.734645613940409
48,22405517,56.8,-73.993498,40.764686,-73.993498,40.764686,1,22,3,1,2013,0,1,0.0
49,54858310,13.5,-73.96204300000001,40.805372,-73.988447,40.770140000000005,1,10,3,5,2013,0,0,4.504354287329575
50,33899076,7.7,-73.983052,40.776055,-73.97409300000001,40.763797,1,18,5,10,2009,1,0,1.5578986978690137
51,29966903,13.3,-73.9859,40.7277,-73.9825,40.7719,1,13,0,8,2011,0,0,4.923153810340649
52,26382712,14.9,-73.997385,40.720822,-73.955628,40.782252,1,3,4,5,2012,0,1,7.683147455752004
53,11666085,7.5,-73.937809,40.850558,-73.94445400000001,40.834959000000005,1,2,6,12,2012,1,1,1.8223740334960772
54,9716818,16.9,-73.986593,40.759143,-74.001767,40.72012,1,11,3,4,2009,0,0,4.523566835042452
55,38092793,11.0,-73.958903,40.815239,-73.980862,40.78261,1,20,3,11,2014,0,0,4.071890589696228
56,1239488,6.5,-73.990305,40.756175,-74.00367800000001,40.759173,1,22,4,3,2010,0,1,1.1746720856063888
57,23077019,6.5,-73.968111,40.765625,-73.980863,40.75916,1,14,4,1,2009,0,0,1.2923801933419812
58,6922345,5.3,-73.98973000000001,40.734507,-74.001847,40.740387,1,1,4,7,2009,0,1,1.2123198451318502
59,6479703,4.1,-73.954332,40.77406,-73.952558,40.766325,2,16,0,2,2009,0,0,0.8729704691968458
60,48399259,9.0,-73.97213745117188,40.7498893737793,-73.98185729980467,40.73242568969727,1,17,2,6,2015,0,0,2.107472694933819
61,14960347,17.3,-73.975307,40.757499,-74.010737,40.711715000000005,3,11,6,10,2011,1,0,5.901635465258964
62,1347588,6.5,-73.997925,40.749805,-74.003443,40.754337,2,6,2,6,2011,0,0,0.6855631370933565
63,22364180,20.0,-73.977453,40.785215,-73.98595,40.734955,1,20,5,10,2013,1,0,5.634292439467108
64,44856422,13.0,-73.993619,40.749808,-73.992512,40.756546,2,14,4,8,2014,0,0,0.7550116501425109
65,21993993,6.0,0.0,0.0,0.0,0.0,1,19,0,5,2014,0,0,0.0
66,3045866,5.5,-73.968242,40.762112,-73.979687,40.765432,1,19,2,1,2013,0,0,1.0321734773328322
67,23460451,15.5,-73.98994499999999,40.733990000000006,-73.95831,40.780797,1,15,5,12,2012,1,0,5.847115069381374
68,53705359,8.5,-73.99765014648438,40.73622131347656,-73.9818115234375,40.76134872436523,2,11,0,2,2015,0,0,3.09626042364891
69,45517946,7.5,-73.99793299999999,40.756223,-73.98152900000001,40.742386,1,20,4,2,2013,0,0,2.068041832270027
70,9514003,6.9,-73.94945799999999,40.773348,-73.964993,40.76659,5,10,2,5,2009,0,0,1.5086958059307014
71,53475676,21.0,-73.95431518554686,40.76970291137695,-73.9901351928711,40.75743865966797,1,14,6,5,2015,1,0,3.3106837403031864
72,28370429,4.1,-73.99455400000001,40.721011,-73.989079,40.722964000000005,2,20,3,6,2012,0,0,0.5099454931160741
73,48832443,5.7,-73.99096800000001,40.72757,-73.99136999999999,40.74472,1,1,5,12,2011,1,1,1.9072937584277376
74,11835345,19.3,-74.013173,40.704148,-73.984285,40.754962,1,9,2,3,2009,0,0,6.152295773060565
75,41669619,17.3,-73.995721,40.767201,-73.951222,40.723918,4,4,5,12,2010,1,1,6.100532472814074
76,50958489,12.0,-74.010142,40.719717,-74.013625,40.702315000000006,1,9,1,4,2014,0,0,1.957156968890051
77,39891441,11.3,-73.98149599999999,40.768334,-73.95610400000001,40.804763,1,20,3,4,2012,0,0,4.5802219559262465
78,21255889,9.7,-73.94984000000001,40.796042,-73.962738,40.759112,3,20,6,4,2010,1,0,4.2476164544772566
79,45550385,4.9,-73.98698900000001,40.7208,-73.976607,40.722857,1,19,2,5,2012,0,0,0.9043265972847649
80,29152955,11.0,-73.96671295166014,40.80403518676758,-73.93840026855469,40.79726791381836,1,13,3,5,2015,0,0,2.4991455828755447
81,26348645,3.5,-73.97534942626955,40.75249099731445,-73.97386169433594,40.7488899230957,2,1,3,5,2015,0,1,0.4195742643579332
82,781560,26.1,-73.97613199999999,40.744211,-73.90495,40.876687,2,1,6,6,2012,1,1,15.90223640125852
83,9404760,8.1,-73.982543,40.731653,-73.954875,40.768787,5,21,5,10,2010,1,0,4.741476721199142
84,25485719,49.57,-73.97505799999999,40.78882,-73.97505799999999,40.78882,1,10,4,8,2009,0,0,0.0
85,11536406,7.7,-73.987383,40.721255,-73.95473299999999,40.730683,1,10,2,9,2010,0,0,2.9443036554801694
86,19137375,5.3,-73.971503,40.760135,-73.961437,40.768975,1,18,3,4,2012,0,0,1.29803428136408
87,11267091,4.5,-73.98192,40.761172,-74.016152,40.704765,1,12,2,9,2010,0,0,6.903595570455703
88,30869427,7.3,-74.008325,40.725947,-73.988232,40.720322,1,3,5,1,2010,1,1,1.805093407262824
89,226870,6.5,-73.99260500000001,40.733957,-73.980698,40.742135,1,18,4,2,2013,0,0,1.3540018764349129
90,46728985,5.3,-73.986465,40.755052,-73.996115,40.744817,3,18,6,8,2012,1,0,1.3985774606880699
91,10442368,9.3,-73.95770999999999,40.765555,-73.97005899999999,40.762758000000005,1,12,4,3,2010,0,0,1.0855333061488535
92,1454546,6.1,0.0,0.0,0.0,0.0,1,14,4,12,2011,0,0,0.0
93,51116974,3.7,-73.97645899999999,40.744077,-73.983699,40.734203,1,11,1,4,2009,0,0,1.2560027307656176
94,46652271,4.0,-73.950582,40.786452,-73.9575,40.776686,1,13,6,4,2014,1,0,1.232283733752288
95,25431833,9.5,-73.97843170166014,40.75239944458008,-74.00042724609375,40.74211883544922,1,8,5,4,2015,1,0,2.177181862448128
96,44792012,4.5,-73.990055,40.756413,-73.983047,40.756727000000005,3,20,0,10,2011,0,0,0.5913089720406205
97,18571020,3.3,-73.982326,40.731314000000005,-73.989649,40.734398,1,3,0,4,2010,0,1,0.7059199000020814
98,37942404,30.9,-73.995888,40.759078,-73.86500500000001,40.770452,1,9,4,11,2011,0,0,11.095110823640908
99,29024472,26.9,-73.990137,40.756007,-73.929361,40.774553,1,14,6,8,2009,1,0,5.518253928149035
100,29350780,9.0,-73.95828,40.7689,-73.97351,40.782907,5,18,2,2,2014,0,0,2.017540513110456
101,30977645,4.1,-73.977633,40.753166,-73.981589,40.757359,1,21,6,2,2011,1,0,0.573073660056064
102,7290820,14.9,-73.96221800000001,40.640218,-73.96804300000001,40.640505,1,11,4,2,2011,0,0,0.4925258833329277
103,47729464,6.5,-74.00054499999999,40.737462,-74.00954499999999,40.713217,5,9,4,7,2009,0,0,2.800569077150064
104,46435788,43.0,-73.86270141601562,40.76895904541016,-73.99909210205078,40.74182891845703,2,18,4,5,2015,0,0,11.87774445366689
105,7215780,8.0,-73.984463,40.742792,-73.97735,40.761375,5,22,1,12,2012,0,1,2.1514498437713505
106,40831100,6.0,-73.95018768310547,40.71929550170898,-73.94046020507811,40.724212646484375,1,1,1,4,2015,0,1,0.9853746921337735
107,31282042,4.0,-73.988752,40.758687,-73.98508000000001,40.773772,1,18,4,5,2013,0,0,1.7056436942563324
108,20318457,3.7,-73.984218,40.732007,-73.979443,40.727617,5,21,1,3,2010,0,0,0.6325948765673487
109,21080437,10.1,-73.99268000000001,40.768321,-74.00233,40.746864,2,17,2,3,2012,0,0,2.520556440910254
110,5838487,18.0,-73.95474243164062,40.68746948242188,-73.98821258544923,40.73051071166992,1,22,4,1,2015,0,1,5.555583502410186
111,52854856,5.7,-73.988433,40.737176,-73.981018,40.747329,1,18,2,2,2009,0,0,1.2902700094436983
112,21689516,6.5,-73.964187,40.757303,-73.98338199999999,40.743835,1,15,6,6,2012,1,0,2.2038976300658244
113,40522164,35.3,-73.77674300000001,40.645374,-73.91340799999999,40.745943,1,21,4,5,2009,0,0,16.056267511923192
114,2111231,6.1,-73.997893,40.735897,-74.00654300000001,40.746245,5,17,3,7,2012,0,0,1.3620067732518348
115,38160009,4.9,-73.98575799999999,40.753255,-73.98142,40.746513,1,18,6,6,2011,1,0,0.8339951625062232
116,10540899,6.1,-73.9956,40.754782,-74.002493,40.734401,1,22,4,7,2011,0,1,2.3394783327850464
117,10601778,10.0,-73.976022,40.76004,-73.982853,40.74504,1,15,0,2,2013,0,0,1.7643864118751165
118,26536581,10.5,-73.98860400000001,40.778445,-73.99493100000001,40.749954,1,15,6,6,2014,1,0,3.2125544189204627
119,52914369,8.9,-73.997975,40.720503,-74.001847,40.737797,1,18,2,4,2012,0,0,1.9504871655301903
120,17358122,6.5,0.0,0.0,0.0,0.0,1,19,4,8,2010,0,0,0.0
121,55198695,13.0,-74.006395,40.749657,-73.978468,40.753897,5,14,3,3,2013,0,0,2.3992142001337746
122,9147772,6.9,-73.990318,40.737122,-73.97627,40.744955,1,0,2,1,2012,0,1,1.4694752956436283
123,14653045,9.7,-73.982613,40.771843,-73.978862,40.754318,2,9,0,11,2009,0,0,1.9741320914557088
124,48128338,10.1,-73.980253,40.765255,-73.974253,40.731925,2,1,5,9,2009,1,1,3.7404332859766165
125,40598638,9.7,-73.954797,40.767289,-73.974788,40.754888,1,17,2,7,2011,0,0,2.176308356423864
126,8791172,5.3,-73.956158,40.781593,-73.966138,40.773645,1,12,1,9,2010,0,0,1.2195217297895897
127,14280426,5.7,-73.991201,40.750336,-73.977786,40.752390000000005,1,6,3,1,2010,0,0,1.1528712807884434
128,26009783,7.5,-73.97513199999999,40.73302,-73.977113,40.752058,1,5,0,11,2014,0,1,2.123497519022371
129,30203807,10.5,-73.995627,40.749295,-73.965087,40.77161,1,16,4,9,2010,0,0,3.5739561434812805
130,38938355,6.1,-73.985523,40.760627,-73.98918499999999,40.774452,1,18,2,11,2010,0,0,1.5678988052202285
131,31583447,6.5,-74.00299072265625,40.73112869262695,-74.00541687011719,40.74004364013672,1,22,5,4,2015,1,1,1.0121540204241857
132,1988725,7.7,-73.962497,40.76308,-73.98472,40.736343,1,13,6,1,2009,1,0,3.513300762627258
133,40863188,6.9,0.0,0.0,0.0,0.0,2,15,5,3,2010,1,0,0.0
134,37286529,6.1,-74.001561,40.735996,-73.986623,40.74737,2,0,2,9,2010,0,1,1.7841960089986924
135,13917019,8.9,-74.008055,40.711553,-73.997185,40.679587,1,0,1,6,2009,0,1,3.6706908026919316
136,53369902,9.0,-73.978163,40.74563,-73.952042,40.773192,2,1,6,8,2013,1,1,3.7726588037335183
137,42367206,15.0,-73.994126,40.750917,-73.949428,40.781336,1,0,1,9,2014,0,1,5.060737421253155
138,34326211,15.0,-73.98861694335938,40.74912643432617,-73.95635986328125,40.747520446777344,4,21,2,1,2015,0,0,2.7231820866476055
139,17436771,12.9,-74.010698,40.710985,-73.991138,40.750717,1,14,3,9,2009,0,0,4.715412929675451
140,33481580,7.5,-73.976543,40.788207,-73.954575,40.777842,1,20,0,4,2014,0,0,2.1793085139661055
141,27401654,9.5,-74.006591796875,40.74441146850585,-73.9863739013672,40.74319076538085,2,19,0,4,2015,0,0,1.7086613237527408
142,29572239,5.3,-73.965744,40.754379,-73.9672,40.765067,1,12,1,9,2011,0,0,1.194761568353515
143,10381393,8.0,-73.99436950683594,40.74667739868164,-73.97766876220702,40.73911666870117,1,15,1,2,2015,0,0,1.6390199715194462
144,27114350,11.3,-73.944435,40.778137,-73.980463,40.782295,3,11,1,12,2009,0,0,3.068556569666043
145,26097408,38.54,-73.86276245117188,40.76879119873047,-73.9787368774414,40.7530403137207,6,9,1,6,2015,0,0,9.923554941566666
146,23831436,6.1,-73.968942,40.785745,-73.963131,40.774204,1,10,4,9,2009,0,0,1.3734111253733072
147,11373696,18.0,-73.98103332519531,40.75872802734375,-73.95498657226562,40.73442077636719,2,23,4,2,2015,0,1,3.4813755859188467
148,36637366,6.0,-73.98799133300781,40.7493782043457,-73.98880767822266,40.75851821899415,1,11,5,4,2015,1,0,1.0186467859515795
149,24780231,12.5,-73.991377,40.70255,-73.999735,40.734407,1,15,4,5,2013,0,0,3.6116913830772805
150,20784752,16.5,-73.98715200000001,40.750756,-73.90238000000001,40.741637,1,0,1,4,2010,0,1,7.21300705553596
151,30446427,5.5,-73.97497800000001,40.762812,-73.981365,40.756102,1,14,2,1,2013,0,0,0.9198258898449445
152,30087952,13.7,-73.992956,40.754508,-73.99911800000001,40.722575,1,10,2,10,2011,0,0,3.58854006628307
153,43372207,8.9,-74.00662,40.704113,-74.009975,40.735007,1,18,0,11,2010,0,0,3.446872405459663
154,9127290,4.0,-73.94662475585938,40.77677917480469,-73.95352935791014,40.7799072265625,5,5,1,2,2015,0,1,0.6774814491396011
155,30246428,4.9,-73.976452,40.780742,-73.98034200000001,40.770673,2,17,0,5,2010,0,0,1.1665531190263687
156,31449635,4.9,-73.968681,40.754807,-73.97859,40.756029,1,14,1,6,2010,0,0,0.8456285888431778
157,31451546,8.5,-73.95854200000001,40.780734,-73.975443,40.777022,2,13,2,9,2012,0,0,1.481727645134207
158,19725860,3.7,-73.980351,40.780344,-73.980011,40.785561,1,10,0,2,2011,0,0,0.5808098221202046
159,5154278,6.5,-74.01512199999999,40.715795,-74.008495,40.72814,5,9,1,6,2014,0,0,1.4819598323632237
160,17180598,4.9,-73.97646999999999,40.735987,-73.981563,40.728817,1,20,1,9,2009,0,0,0.9054237089068088
161,13392014,9.3,-73.95428199999999,40.764102,-73.973425,40.782708,1,16,3,1,2012,0,0,2.6227512781393956
162,19277580,29.0,-73.8709,40.7738,-73.98174200000001,40.767455,1,13,1,10,2012,0,0,9.360768533851763
163,38125478,6.5,-73.985129,40.778954,-73.98058499999999,40.765687,1,19,4,1,2010,0,0,1.524041090689461
164,5461708,8.2,-73.98349,40.765833,-73.96135100000001,40.768866,1,20,0,1,2009,0,0,1.894701716882536
165,7751113,11.0,-73.988536,40.753911,-73.989873,40.726236,3,20,3,5,2013,0,0,3.0793804818073816
166,54642873,4.5,-73.992937,40.75778,-73.992937,40.75778,1,21,2,1,2014,0,0,0.0
167,27506709,4.5,-73.992667,40.753087,-73.986788,40.761582,5,7,5,6,2013,1,0,1.0665228872951436
168,51756123,9.0,-73.997222,40.763667,-74.01061700000001,40.730022,3,2,5,4,2014,1,1,3.907626452664896
169,17269533,14.5,0.001782,0.0073799999999999,0.000875,0.00567,1,17,2,7,2010,0,0,0.21523469146035187
170,54793835,5.0,-73.97274,40.798322,-73.961262,40.806462,1,20,0,10,2013,0,0,1.3238698966660256
171,8293300,7.3,-73.989391,40.752278,-73.972785,40.74995,1,8,1,6,2012,0,0,1.4225729965188323
172,5009370,9.5,-73.98402404785155,40.72166061401367,-74.01074981689453,40.716812133789055,1,2,3,2,2015,0,1,2.315974542038576
173,36309121,7.5,-74.00408172607422,40.74240112304688,-73.98440551757811,40.74317169189453,1,1,2,2,2015,0,1,1.659865090750596
174,20868327,7.7,-73.97444499999999,40.764015,-73.983595,40.744184,2,0,5,11,2010,1,1,2.335917669657241
175,32588688,9.7,-74.007912,40.73873,-73.97750500000001,40.761727,1,21,1,5,2009,0,0,3.6193605104727222
176,38184582,15.0,-74.00211334228516,40.75183868408203,-73.9917221069336,40.72645950317383,1,19,4,1,2015,0,0,2.954715135747508
177,17545146,8.0,-73.99575899999999,40.759149,-73.991388,40.750227,3,22,3,5,2013,0,1,1.0581957667703408
178,8052480,13.7,-73.985623,40.763017,-74.009812,40.719408,5,19,2,10,2010,0,0,5.259919249140969
179,5214708,6.0,-73.98212432861328,40.75581741333008,-73.9708251953125,40.7557487487793,1,12,5,1,2015,1,0,0.9517572591205304
180,53047121,7.7,-73.977147,40.789653,-73.954115,40.773782,5,21,4,6,2011,0,0,2.622029993009593
181,29154546,10.5,-73.981387,40.758807,-73.947467,40.779305,1,20,2,9,2011,0,0,3.654415743731093
182,51762242,22.0,-73.983363,40.744282,-73.973965,40.795451,1,18,2,1,2013,0,0,5.74451211529819
183,31785067,7.5,-73.97287,40.76444,-73.98841999999999,40.76914,1,20,1,3,2014,0,0,1.40999161004899
184,17010919,11.5,-73.96995544433594,40.78917694091797,-73.9461669921875,40.77772903442383,5,19,2,2,2015,0,0,2.373158559200566
185,3653533,4.5,-73.98613,40.763425,-73.977522,40.765007,5,20,4,3,2012,0,0,0.7459972944871451
186,32235333,8.1,-73.96494,40.775277,-73.975652,40.791703000000005,1,20,3,5,2011,0,0,2.0370259456143107
187,17711691,14.5,-73.954252,40.7665,-73.989683,40.736847,1,10,2,1,2012,0,0,4.447406006287273
188,2415914,18.0,-73.96534399999999,40.806353,-73.97635799999999,40.750622,1,23,5,11,2012,1,1,6.266013220823555
189,30864447,8.1,-73.982563,40.727365,-73.953233,40.777548,1,1,4,9,2010,0,1,6.102563365802496
190,29942923,4.5,-73.99502700000001,40.744631,-74.000213,40.7352,1,13,1,9,2011,0,0,1.1360583692720312
191,41777976,3.3,-74.001113,40.741735,-73.998253,40.745095,3,20,5,10,2011,1,0,0.4445689514859332
192,13293785,19.7,-73.963411,40.798469,-74.00077900000001,40.729345,1,13,6,5,2012,1,0,8.305578986189966
193,49798166,8.1,-73.981785,40.763397,-74.004152,40.742437,1,2,5,4,2012,1,1,2.9969270718325656
194,39400897,6.5,-73.972497,40.75278,-73.95885,40.763898,3,12,4,9,2010,0,0,1.688067448011129
195,49202586,14.5,-74.005477,40.738575,-73.97272199999999,40.756735,5,1,2,5,2014,0,1,3.4192496693076153
196,51452192,24.0,-73.98155799999999,40.783752,-73.900931,40.893366,1,10,1,5,2009,0,0,13.948682332463854
197,45317989,10.5,-73.96593,40.805358,-73.949923,40.778868,1,20,1,8,2012,0,0,3.2391561174388093
198,41858701,8.9,-73.95208000000001,40.790119,-73.963637,40.79809,1,16,3,9,2009,0,0,1.316090936628035
199,13472186,14.1,-74.00019,40.718336,-73.956801,40.764745,1,0,6,4,2011,1,1,6.323957675092727
200,12508194,6.1,-73.965017,40.764308,-73.98105699999999,40.760887,1,7,3,3,2012,0,0,1.4034474302684439
201,928784,7.3,-73.98478399999999,40.736512,-73.976727,40.751746,1,10,4,4,2011,0,0,1.8248727216357894
202,17076715,23.0,-73.863088,40.769212,-73.95195,40.729382,1,21,2,11,2012,0,0,8.697644455030273
203,17424218,5.3,-74.00921,40.706383,-74.009173,40.716762,1,21,0,11,2009,0,0,1.1540963571485694
204,6403066,45.0,-73.971663,40.757812,-73.789273,40.64179,1,7,5,11,2010,1,0,20.071062079303086
205,44645532,20.1,-73.990166,40.756562,-73.92326800000001,40.825475,2,4,2,6,2011,0,1,9.509767853479962
206,416416,5.7,-74.001563,40.739345,-74.008126,40.723898,1,1,4,11,2011,0,1,1.8044550575732483
207,49651743,3.7,-73.97430200000001,40.761193,-73.97194300000001,40.759643,5,23,1,3,2009,0,1,0.2630226763140528
208,11719767,5.5,-73.985698,40.748747,-73.974357,40.744135,1,7,1,9,2013,0,0,1.0843249081369226
209,13246898,6.1,-73.978788,40.755519,-73.975802,40.765463,1,19,5,5,2010,1,0,1.1339623951629032
210,20519721,8.5,-73.959753,40.777137,-73.96654699999999,40.804235,1,0,6,1,2011,1,1,3.0669643592779883
211,34023783,4.1,-73.959427,40.774613,-73.952647,40.780213,5,16,2,5,2010,0,0,0.8447867799155021
212,38970654,8.0,-73.99208068847656,40.75920867919922,-73.98408508300781,40.78045654296875,1,17,4,5,2015,0,0,2.45672699478425
213,40845743,9.5,-73.995559,40.695197,-73.97470200000001,40.687741,1,18,5,9,2013,1,0,1.9441256138098257
214,17781331,17.5,-73.97411,40.750564,-73.88238,40.755801,1,18,1,2,2009,0,0,7.748637551515433
215,23083708,4.1,-73.959091,40.799481,-73.96740600000001,40.802026,1,19,0,5,2009,0,0,0.7549453550530996
216,16496513,15.7,-73.9773,40.7519,-74.0125,40.7015,1,22,1,6,2011,0,1,6.340791643459591
217,1573188,5.3,-73.93431700000001,40.797407,-73.91787099999999,40.807013,1,5,6,5,2009,1,1,1.7484707523017826
218,49180723,9.7,-74.012526,40.707816,-73.98754699999999,40.744759,2,19,2,6,2010,0,0,4.615766467817577
219,52842120,8.9,-74.00739200000001,40.733257,-73.987243,40.729388,4,21,5,3,2012,1,0,1.7514353057629668
220,55118441,9.5,-73.978083,40.788452,-73.979435,40.771332,1,14,3,12,2013,0,0,1.9070578257299124
221,51449542,29.5,-73.99119,40.750195,-74.006843,40.705932,3,14,1,1,2014,0,0,5.0954970350852555
222,11242259,18.0,-73.99681854248048,40.73598861694336,-73.9678192138672,40.79391860961913,1,21,1,4,2015,0,0,6.888970689905433
223,44829723,23.7,-73.953172,40.787591,-74.01467099999999,40.709887,1,9,2,8,2009,0,0,10.074391222699271
224,31509903,6.0,-73.993362,40.733317,-73.995473,40.740992,1,10,2,3,2014,0,0,0.871757705720122
225,12636677,24.0,-73.97833,40.76347,-73.96477,40.80675,1,12,6,4,2014,1,0,4.946078405039194
226,24085207,49.8,-73.992122,40.748577,-73.806072,40.665272,1,17,6,7,2012,1,0,18.213892718992554
227,3778526,3.7,-73.983436,40.746818,-73.988475,40.73988,1,9,6,3,2009,1,0,0.880556214442957
228,54928616,4.9,-73.982445,40.775478,-73.988803,40.763712,1,22,5,6,2012,1,1,1.413640042391159
229,1842891,7.7,-73.97313,40.764152,-73.987082,40.748315000000005,1,21,4,12,2011,0,0,2.1171027477385356
230,38589960,7.3,-73.993193,40.749672,-74.00768199999999,40.731123,5,8,2,2,2009,0,0,2.3967102436517185
231,14190887,4.1,-73.962199,40.776363,-73.971793,40.765764,1,22,1,10,2011,0,1,1.4288885401771423
232,42307589,7.0,-73.97203,40.75652,-73.98601,40.75225,2,22,2,8,2014,0,1,1.2696798985385738
233,1032411,9.7,-73.98963,40.735626,-73.985599,40.763121000000005,1,21,1,11,2011,0,0,3.0761038049735885
234,7083160,4.5,-73.992378,40.728833,-73.988072,40.73502,1,13,3,2,2012,0,0,0.777775608999844
235,12487121,12.5,-73.980224609375,40.735176086425774,-74.01091766357422,40.70179748535156,1,8,3,5,2015,0,0,4.524005027564419
236,7891124,7.3,-73.968164,40.800219,-73.95713,40.786022,1,21,5,3,2012,1,0,1.8316359286359332
237,45863790,4.1,0.0,0.0,0.0,0.0,5,12,4,6,2011,0,0,0.0
